,metric,value,step
0,Mean Reward Against Episodes,-2.0,0.0
1,Mean Reward Against Episodes,18.353200912475586,5.0
2,Mean Reward Against Episodes,38.62879943847656,10.0
3,Mean Reward Against Episodes,18.006000518798828,15.0
4,Mean Reward Against Episodes,38.309600830078125,20.0
5,Mean Reward Against Episodes,58.87820053100586,25.0
6,Mean Reward Against Episodes,18.29759979248047,30.0
7,Mean Reward Against Episodes,58.86640167236328,35.0
8,Mean Reward Against Episodes,38.564998626708984,40.0
9,Mean Reward Against Episodes,79.10679626464844,45.0
10,Mean Reward Against Episodes,18.358999252319336,50.0
11,Mean Reward Against Episodes,99.33580017089844,55.0
12,Mean Reward Against Episodes,18.291000366210938,60.0
13,Mean Reward Against Episodes,79.19860076904297,65.0
14,Mean Reward Against Episodes,18.28059959411621,70.0
15,Mean Reward Against Episodes,18.34160041809082,75.0
16,Mean Reward Against Episodes,58.657798767089844,80.0
17,Mean Reward Against Episodes,-2.0,85.0
18,Mean Reward Against Episodes,-2.0,90.0
19,Mean Reward Against Episodes,-2.0,95.0
20,Mean Reward Against Episodes,-2.0,100.0
21,Mean Reward Against Episodes,-2.0,105.0
22,Mean Reward Against Episodes,-2.0,110.0
23,Mean Reward Against Episodes,58.82320022583008,115.0
24,Mean Reward Against Episodes,99.13059997558594,120.0
25,Mean Reward Against Episodes,99.39080047607422,125.0
26,Mean Reward Against Episodes,99.45159912109375,130.0
27,Mean Reward Against Episodes,79.2155990600586,135.0
28,Mean Reward Against Episodes,58.94060134887695,140.0
29,Mean Reward Against Episodes,-2.0,145.0
30,Mean Reward Against Episodes,-2.0,150.0
31,Mean Reward Against Episodes,38.42219924926758,155.0
32,Mean Reward Against Episodes,-2.0,160.0
33,Mean Reward Against Episodes,-2.0,165.0
34,Mean Reward Against Episodes,58.69499969482422,170.0
35,Mean Reward Against Episodes,58.70840072631836,175.0
36,Mean Reward Against Episodes,79.28199768066406,180.0
37,Mean Reward Against Episodes,58.92559814453125,185.0
38,Mean Reward Against Episodes,18.209400177001953,190.0
39,Mean Reward Against Episodes,99.61280059814453,195.0
40,Mean Reward Against Episodes,79.09960174560547,200.0
41,Mean Reward Against Episodes,-2.0,205.0
42,Mean Reward Against Episodes,58.22880172729492,210.0
43,Mean Reward Against Episodes,99.52839660644531,215.0
44,Mean Reward Against Episodes,-2.0,220.0
45,Mean Reward Against Episodes,18.103599548339844,225.0
46,Mean Reward Against Episodes,-2.0,230.0
47,Mean Reward Against Episodes,18.024799346923828,235.0
48,Mean Reward Against Episodes,-2.0,240.0
49,Mean Reward Against Episodes,18.18400001525879,245.0
50,Mean Reward Against Episodes,18.070600509643555,250.0
51,Mean Reward Against Episodes,38.5901985168457,255.0
52,Mean Reward Against Episodes,38.61180114746094,260.0
53,Mean Reward Against Episodes,58.60879898071289,265.0
54,Mean Reward Against Episodes,-2.0,270.0
55,Mean Reward Against Episodes,-2.0,275.0
56,Mean Reward Against Episodes,-2.0,280.0
57,Mean Reward Against Episodes,-2.0,285.0
58,Mean Reward Against Episodes,-2.0,290.0
59,Mean Reward Against Episodes,-2.0,295.0
60,Mean Reward Against Episodes,-2.0,300.0
61,Mean Reward Against Episodes,-2.0,305.0
62,Mean Reward Against Episodes,-2.0,310.0
63,Mean Reward Against Episodes,-2.0,315.0
64,Mean Reward Against Episodes,-2.0,320.0
65,Mean Reward Against Episodes,-2.0,325.0
66,Mean Reward Against Episodes,-2.0,330.0
67,Mean Reward Against Episodes,-2.0,335.0
68,Mean Reward Against Episodes,-2.0,340.0
69,Mean Reward Against Episodes,-2.0,345.0
70,Mean Reward Against Episodes,-2.0,350.0
71,Mean Reward Against Episodes,-2.0,355.0
72,Mean Reward Against Episodes,-2.0,360.0
73,Mean Reward Against Episodes,-2.0,365.0
74,Mean Reward Against Episodes,-2.0,370.0
75,Mean Reward Against Episodes,-2.0,375.0
76,Mean Reward Against Episodes,-2.0,380.0
77,Mean Reward Against Episodes,-2.0,385.0
78,Mean Reward Against Episodes,-2.0,390.0
79,Mean Reward Against Episodes,99.24120330810547,395.0
80,Mean Reward Against Episodes,99.4489974975586,400.0
81,Mean Reward Against Episodes,99.60600280761719,405.0
82,Mean Reward Against Episodes,58.767601013183594,410.0
83,Mean Reward Against Episodes,58.67319869995117,415.0
84,Mean Reward Against Episodes,78.8124008178711,420.0
85,Mean Reward Against Episodes,-2.0,425.0
86,Mean Reward Against Episodes,18.141199111938477,430.0
87,Mean Reward Against Episodes,99.40339660644531,435.0
88,Mean Reward Against Episodes,99.26580047607422,440.0
89,Mean Reward Against Episodes,99.56839752197266,445.0
90,Mean Reward Against Episodes,18.024999618530273,450.0
91,Mean Reward Against Episodes,38.29800033569336,455.0
92,Mean Reward Against Episodes,99.44400024414062,460.0
93,Mean Reward Against Episodes,79.14540100097656,465.0
94,Mean Reward Against Episodes,-2.0,470.0
95,Mean Reward Against Episodes,18.058000564575195,475.0
96,Mean Reward Against Episodes,78.88259887695312,480.0
97,Mean Reward Against Episodes,38.49480056762695,485.0
98,Mean Reward Against Episodes,-2.0,490.0
99,Mean Reward Against Episodes,38.495201110839844,495.0
0,Mean Reward Against Steps,-2.0,1000.0
1,Mean Reward Against Steps,18.353200912475586,5117.0
2,Mean Reward Against Steps,38.62879943847656,8546.0
3,Mean Reward Against Steps,18.006000518798828,13531.0
4,Mean Reward Against Steps,38.309600830078125,17757.0
5,Mean Reward Against Steps,58.87820053100586,20562.0
6,Mean Reward Against Steps,18.29759979248047,24818.0
7,Mean Reward Against Steps,58.86640167236328,27653.0
8,Mean Reward Against Steps,38.564998626708984,31241.0
9,Mean Reward Against Steps,79.10679626464844,33475.0
10,Mean Reward Against Steps,18.358999252319336,37578.0
