,metric,value,step
0,Mean Reward Against Episodes,-200.0,0.0
1,Mean Reward Against Episodes,-200.0,5.0
2,Mean Reward Against Episodes,-200.0,10.0
3,Mean Reward Against Episodes,-169.4199981689453,15.0
4,Mean Reward Against Episodes,-200.0,20.0
5,Mean Reward Against Episodes,-200.0,25.0
6,Mean Reward Against Episodes,-200.0,30.0
7,Mean Reward Against Episodes,-200.0,35.0
8,Mean Reward Against Episodes,-200.0,40.0
9,Mean Reward Against Episodes,-200.0,45.0
10,Mean Reward Against Episodes,-200.0,50.0
11,Mean Reward Against Episodes,-200.0,55.0
12,Mean Reward Against Episodes,-200.0,60.0
13,Mean Reward Against Episodes,-200.0,65.0
14,Mean Reward Against Episodes,-200.0,70.0
15,Mean Reward Against Episodes,-200.0,75.0
16,Mean Reward Against Episodes,-200.0,80.0
17,Mean Reward Against Episodes,-200.0,85.0
18,Mean Reward Against Episodes,-177.1199951171875,90.0
19,Mean Reward Against Episodes,-200.0,95.0
20,Mean Reward Against Episodes,-171.94000244140625,100.0
21,Mean Reward Against Episodes,-118.95999908447266,105.0
22,Mean Reward Against Episodes,-200.0,110.0
23,Mean Reward Against Episodes,-112.33999633789062,115.0
24,Mean Reward Against Episodes,-200.0,120.0
25,Mean Reward Against Episodes,-200.0,125.0
26,Mean Reward Against Episodes,-179.74000549316406,130.0
27,Mean Reward Against Episodes,-200.0,135.0
28,Mean Reward Against Episodes,-150.63999938964844,140.0
29,Mean Reward Against Episodes,-200.0,145.0
30,Mean Reward Against Episodes,-170.1199951171875,150.0
31,Mean Reward Against Episodes,-169.10000610351562,155.0
32,Mean Reward Against Episodes,-159.10000610351562,160.0
33,Mean Reward Against Episodes,-200.0,165.0
34,Mean Reward Against Episodes,-200.0,170.0
35,Mean Reward Against Episodes,-200.0,175.0
36,Mean Reward Against Episodes,-200.0,180.0
37,Mean Reward Against Episodes,-200.0,185.0
38,Mean Reward Against Episodes,-200.0,190.0
39,Mean Reward Against Episodes,-200.0,195.0
40,Mean Reward Against Episodes,-200.0,200.0
41,Mean Reward Against Episodes,-200.0,205.0
42,Mean Reward Against Episodes,-200.0,210.0
43,Mean Reward Against Episodes,-179.5399932861328,215.0
44,Mean Reward Against Episodes,-92.5199966430664,220.0
45,Mean Reward Against Episodes,-72.4000015258789,225.0
46,Mean Reward Against Episodes,-125.5199966430664,230.0
47,Mean Reward Against Episodes,-130.72000122070312,235.0
48,Mean Reward Against Episodes,-127.5,240.0
49,Mean Reward Against Episodes,-200.0,245.0
50,Mean Reward Against Episodes,-200.0,250.0
51,Mean Reward Against Episodes,-152.17999267578125,255.0
52,Mean Reward Against Episodes,-200.0,260.0
53,Mean Reward Against Episodes,-200.0,265.0
54,Mean Reward Against Episodes,-150.36000061035156,270.0
55,Mean Reward Against Episodes,-114.76000213623047,275.0
56,Mean Reward Against Episodes,-134.47999572753906,280.0
57,Mean Reward Against Episodes,-92.05999755859375,285.0
58,Mean Reward Against Episodes,-80.73999786376953,290.0
59,Mean Reward Against Episodes,-153.8800048828125,295.0
60,Mean Reward Against Episodes,-149.72000122070312,300.0
61,Mean Reward Against Episodes,-200.0,305.0
62,Mean Reward Against Episodes,-200.0,310.0
63,Mean Reward Against Episodes,-200.0,315.0
64,Mean Reward Against Episodes,-200.0,320.0
65,Mean Reward Against Episodes,-200.0,325.0
66,Mean Reward Against Episodes,-200.0,330.0
67,Mean Reward Against Episodes,-200.0,335.0
68,Mean Reward Against Episodes,-158.5800018310547,340.0
69,Mean Reward Against Episodes,-162.24000549316406,345.0
70,Mean Reward Against Episodes,-76.94000244140625,350.0
71,Mean Reward Against Episodes,-154.75999450683594,355.0
72,Mean Reward Against Episodes,-166.8000030517578,360.0
73,Mean Reward Against Episodes,-173.55999755859375,365.0
74,Mean Reward Against Episodes,-99.33999633789062,370.0
75,Mean Reward Against Episodes,-171.9600067138672,375.0
76,Mean Reward Against Episodes,-128.1199951171875,380.0
77,Mean Reward Against Episodes,-130.0,385.0
78,Mean Reward Against Episodes,-108.23999786376953,390.0
79,Mean Reward Against Episodes,-111.87999725341797,395.0
80,Mean Reward Against Episodes,-149.89999389648438,400.0
81,Mean Reward Against Episodes,-200.0,405.0
82,Mean Reward Against Episodes,-165.24000549316406,410.0
83,Mean Reward Against Episodes,-176.44000244140625,415.0
84,Mean Reward Against Episodes,-200.0,420.0
85,Mean Reward Against Episodes,-155.0,425.0
86,Mean Reward Against Episodes,-112.62000274658203,430.0
87,Mean Reward Against Episodes,-200.0,435.0
88,Mean Reward Against Episodes,-116.36000061035156,440.0
