,metric,value,step
0,Mean Reward Against Episodes,-2.0,0.0
1,Mean Reward Against Episodes,-2.0,5.0
2,Mean Reward Against Episodes,18.03660011291504,10.0
3,Mean Reward Against Episodes,-2.0,15.0
4,Mean Reward Against Episodes,-2.0,20.0
5,Mean Reward Against Episodes,-2.0,25.0
6,Mean Reward Against Episodes,-2.0,30.0
7,Mean Reward Against Episodes,-2.0,35.0
8,Mean Reward Against Episodes,-2.0,40.0
9,Mean Reward Against Episodes,-2.0,45.0
10,Mean Reward Against Episodes,-2.0,50.0
11,Mean Reward Against Episodes,-2.0,55.0
12,Mean Reward Against Episodes,-2.0,60.0
13,Mean Reward Against Episodes,-2.0,65.0
14,Mean Reward Against Episodes,-2.0,70.0
15,Mean Reward Against Episodes,-2.0,75.0
16,Mean Reward Against Episodes,-2.0,80.0
17,Mean Reward Against Episodes,-2.0,85.0
18,Mean Reward Against Episodes,-2.0,90.0
19,Mean Reward Against Episodes,-2.0,95.0
20,Mean Reward Against Episodes,-2.0,100.0
21,Mean Reward Against Episodes,-2.0,105.0
22,Mean Reward Against Episodes,-2.0,110.0
23,Mean Reward Against Episodes,-2.0,115.0
24,Mean Reward Against Episodes,18.045400619506836,120.0
25,Mean Reward Against Episodes,-2.0,125.0
26,Mean Reward Against Episodes,-2.0,130.0
27,Mean Reward Against Episodes,-2.0,135.0
28,Mean Reward Against Episodes,-2.0,140.0
29,Mean Reward Against Episodes,-2.0,145.0
30,Mean Reward Against Episodes,-2.0,150.0
31,Mean Reward Against Episodes,-2.0,155.0
32,Mean Reward Against Episodes,-2.0,160.0
33,Mean Reward Against Episodes,-2.0,165.0
34,Mean Reward Against Episodes,-2.0,170.0
35,Mean Reward Against Episodes,-2.0,175.0
36,Mean Reward Against Episodes,-2.0,180.0
37,Mean Reward Against Episodes,-2.0,185.0
38,Mean Reward Against Episodes,-2.0,190.0
39,Mean Reward Against Episodes,-2.0,195.0
40,Mean Reward Against Episodes,-2.0,200.0
41,Mean Reward Against Episodes,-2.0,205.0
42,Mean Reward Against Episodes,-2.0,210.0
43,Mean Reward Against Episodes,-2.0,215.0
44,Mean Reward Against Episodes,-2.0,220.0
45,Mean Reward Against Episodes,-2.0,225.0
46,Mean Reward Against Episodes,-2.0,230.0
47,Mean Reward Against Episodes,-2.0,235.0
48,Mean Reward Against Episodes,-2.0,240.0
49,Mean Reward Against Episodes,-2.0,245.0
50,Mean Reward Against Episodes,-2.0,250.0
51,Mean Reward Against Episodes,-2.0,255.0
52,Mean Reward Against Episodes,-2.0,260.0
53,Mean Reward Against Episodes,-2.0,265.0
54,Mean Reward Against Episodes,-2.0,270.0
55,Mean Reward Against Episodes,-2.0,275.0
56,Mean Reward Against Episodes,-2.0,280.0
57,Mean Reward Against Episodes,-2.0,285.0
58,Mean Reward Against Episodes,-2.0,290.0
59,Mean Reward Against Episodes,-2.0,295.0
60,Mean Reward Against Episodes,18.042800903320312,300.0
61,Mean Reward Against Episodes,-2.0,305.0
62,Mean Reward Against Episodes,-2.0,310.0
63,Mean Reward Against Episodes,-2.0,315.0
64,Mean Reward Against Episodes,-2.0,320.0
65,Mean Reward Against Episodes,-2.0,325.0
66,Mean Reward Against Episodes,18.06719970703125,330.0
67,Mean Reward Against Episodes,-2.0,335.0
68,Mean Reward Against Episodes,-2.0,340.0
69,Mean Reward Against Episodes,-2.0,345.0
70,Mean Reward Against Episodes,18.090999603271484,350.0
71,Mean Reward Against Episodes,-2.0,355.0
72,Mean Reward Against Episodes,-2.0,360.0
73,Mean Reward Against Episodes,-2.0,365.0
74,Mean Reward Against Episodes,-2.0,370.0
75,Mean Reward Against Episodes,-2.0,375.0
76,Mean Reward Against Episodes,-2.0,380.0
77,Mean Reward Against Episodes,-2.0,385.0
78,Mean Reward Against Episodes,-2.0,390.0
79,Mean Reward Against Episodes,-2.0,395.0
80,Mean Reward Against Episodes,-2.0,400.0
81,Mean Reward Against Episodes,-2.0,405.0
82,Mean Reward Against Episodes,-2.0,410.0
83,Mean Reward Against Episodes,-2.0,415.0
84,Mean Reward Against Episodes,-2.0,420.0
85,Mean Reward Against Episodes,18.07200050354004,425.0
86,Mean Reward Against Episodes,-2.0,430.0
87,Mean Reward Against Episodes,-2.0,435.0
88,Mean Reward Against Episodes,-2.0,440.0
89,Mean Reward Against Episodes,-2.0,445.0
90,Mean Reward Against Episodes,-2.0,450.0
91,Mean Reward Against Episodes,-2.0,455.0
92,Mean Reward Against Episodes,-2.0,460.0
93,Mean Reward Against Episodes,-2.0,465.0
94,Mean Reward Against Episodes,-2.0,470.0
95,Mean Reward Against Episodes,-2.0,475.0
96,Mean Reward Against Episodes,-2.0,480.0
97,Mean Reward Against Episodes,-2.0,485.0
98,Mean Reward Against Episodes,-2.0,490.0
99,Mean Reward Against Episodes,-2.0,495.0
0,Mean Reward Against Steps,-2.0,500.0
1,Mean Reward Against Steps,-2.0,3000.0
2,Mean Reward Against Steps,18.03660011291504,5455.0
3,Mean Reward Against Steps,-2.0,7955.0
4,Mean Reward Against Steps,-2.0,10455.0
5,Mean Reward Against Steps,-2.0,12955.0
6,Mean Reward Against Steps,-2.0,15455.0
7,Mean Reward Against Steps,-2.0,17955.0
8,Mean Reward Against Steps,-2.0,20455.0
9,Mean Reward Against Steps,-2.0,22955.0
10,Mean Reward Against Steps,-2.0,25455.0
11,Mean Reward Against Steps,-2.0,27955.0
12,Mean Reward Against Steps,-2.0,30455.0
13,Mean Reward Against Steps,-2.0,32955.0
14,Mean Reward Against Steps,-2.0,35455.0
15,Mean Reward Against Steps,-2.0,37955.0
16,Mean Reward Against Steps,-2.0,40455.0
17,Mean Reward Against Steps,-2.0,42955.0
18,Mean Reward Against Steps,-2.0,45455.0
19,Mean Reward Against Steps,-2.0,47955.0
20,Mean Reward Against Steps,-2.0,50455.0
21,Mean Reward Against Steps,-2.0,52955.0
22,Mean Reward Against Steps,-2.0,55455.0
23,Mean Reward Against Steps,-2.0,57955.0
24,Mean Reward Against Steps,18.045400619506836,60399.0
25,Mean Reward Against Steps,-2.0,62899.0
26,Mean Reward Against Steps,-2.0,65399.0
27,Mean Reward Against Steps,-2.0,67899.0
28,Mean Reward Against Steps,-2.0,70399.0
29,Mean Reward Against Steps,-2.0,72899.0
30,Mean Reward Against Steps,-2.0,75399.0
31,Mean Reward Against Steps,-2.0,77899.0
32,Mean Reward Against Steps,-2.0,80399.0
33,Mean Reward Against Steps,-2.0,82899.0
34,Mean Reward Against Steps,-2.0,85399.0
35,Mean Reward Against Steps,-2.0,87899.0
36,Mean Reward Against Steps,-2.0,90399.0
37,Mean Reward Against Steps,-2.0,92899.0
38,Mean Reward Against Steps,-2.0,95399.0
39,Mean Reward Against Steps,-2.0,97899.0
40,Mean Reward Against Steps,-2.0,100399.0
41,Mean Reward Against Steps,-2.0,102899.0
42,Mean Reward Against Steps,-2.0,105399.0
43,Mean Reward Against Steps,-2.0,107899.0
44,Mean Reward Against Steps,-2.0,110399.0
45,Mean Reward Against Steps,-2.0,112899.0
46,Mean Reward Against Steps,-2.0,115399.0
47,Mean Reward Against Steps,-2.0,117899.0
48,Mean Reward Against Steps,-2.0,120399.0
49,Mean Reward Against Steps,-2.0,122899.0
50,Mean Reward Against Steps,-2.0,125399.0
51,Mean Reward Against Steps,-2.0,127899.0
52,Mean Reward Against Steps,-2.0,130399.0
53,Mean Reward Against Steps,-2.0,132899.0
54,Mean Reward Against Steps,-2.0,135399.0
55,Mean Reward Against Steps,-2.0,137899.0
56,Mean Reward Against Steps,-2.0,140399.0
57,Mean Reward Against Steps,-2.0,142899.0
58,Mean Reward Against Steps,-2.0,145399.0
59,Mean Reward Against Steps,-2.0,147899.0
60,Mean Reward Against Steps,18.042800903320312,150346.0
61,Mean Reward Against Steps,-2.0,152846.0
62,Mean Reward Against Steps,-2.0,155346.0
63,Mean Reward Against Steps,-2.0,157846.0
64,Mean Reward Against Steps,-2.0,160346.0
65,Mean Reward Against Steps,-2.0,162846.0
66,Mean Reward Against Steps,18.06719970703125,165262.0
67,Mean Reward Against Steps,-2.0,167762.0
68,Mean Reward Against Steps,-2.0,170262.0
69,Mean Reward Against Steps,-2.0,172762.0
70,Mean Reward Against Steps,18.090999603271484,175149.0
71,Mean Reward Against Steps,-2.0,177649.0
72,Mean Reward Against Steps,-2.0,180149.0
73,Mean Reward Against Steps,-2.0,182649.0
74,Mean Reward Against Steps,-2.0,185149.0
75,Mean Reward Against Steps,-2.0,187649.0
76,Mean Reward Against Steps,-2.0,190149.0
77,Mean Reward Against Steps,-2.0,192649.0
78,Mean Reward Against Steps,-2.0,195149.0
79,Mean Reward Against Steps,-2.0,197649.0
80,Mean Reward Against Steps,-2.0,200149.0
81,Mean Reward Against Steps,-2.0,202649.0
82,Mean Reward Against Steps,-2.0,205149.0
83,Mean Reward Against Steps,-2.0,207649.0
84,Mean Reward Against Steps,-2.0,210149.0
85,Mean Reward Against Steps,18.07200050354004,212559.0
86,Mean Reward Against Steps,-2.0,215059.0
87,Mean Reward Against Steps,-2.0,217559.0
88,Mean Reward Against Steps,-2.0,220059.0
89,Mean Reward Against Steps,-2.0,222559.0
90,Mean Reward Against Steps,-2.0,225059.0
91,Mean Reward Against Steps,-2.0,227559.0
92,Mean Reward Against Steps,-2.0,230059.0
93,Mean Reward Against Steps,-2.0,232559.0
94,Mean Reward Against Steps,-2.0,235059.0
95,Mean Reward Against Steps,-2.0,237559.0
96,Mean Reward Against Steps,-2.0,240059.0
97,Mean Reward Against Steps,-2.0,242559.0
98,Mean Reward Against Steps,-2.0,245059.0
99,Mean Reward Against Steps,-2.0,247559.0
