,metric,value,step
0,Steps per episode,750.0,0.0
1,Steps per episode,723.7999877929688,5.0
2,Steps per episode,723.4000244140625,10.0
3,Steps per episode,750.0,15.0
4,Steps per episode,750.0,20.0
5,Steps per episode,750.0,25.0
6,Steps per episode,750.0,30.0
7,Steps per episode,750.0,35.0
8,Steps per episode,646.0,40.0
9,Steps per episode,750.0,45.0
10,Steps per episode,750.0,50.0
11,Steps per episode,660.4000244140625,55.0
12,Steps per episode,750.0,60.0
13,Steps per episode,750.0,65.0
14,Steps per episode,750.0,70.0
15,Steps per episode,648.5999755859375,75.0
16,Steps per episode,750.0,80.0
17,Steps per episode,750.0,85.0
18,Steps per episode,703.5999755859375,90.0
19,Steps per episode,750.0,95.0
20,Steps per episode,709.5999755859375,100.0
21,Steps per episode,750.0,105.0
22,Steps per episode,750.0,110.0
23,Steps per episode,750.0,115.0
24,Steps per episode,750.0,120.0
25,Steps per episode,577.5999755859375,125.0
26,Steps per episode,750.0,130.0
27,Steps per episode,750.0,135.0
28,Steps per episode,750.0,140.0
29,Steps per episode,750.0,145.0
30,Steps per episode,750.0,150.0
31,Steps per episode,750.0,155.0
32,Steps per episode,651.2000122070312,160.0
33,Steps per episode,750.0,165.0
34,Steps per episode,648.2000122070312,170.0
35,Steps per episode,690.7999877929688,175.0
36,Steps per episode,725.5999755859375,180.0
37,Steps per episode,713.0,185.0
38,Steps per episode,688.0,190.0
39,Steps per episode,750.0,195.0
40,Steps per episode,706.2000122070312,200.0
41,Steps per episode,733.0,205.0
42,Steps per episode,750.0,210.0
43,Steps per episode,750.0,215.0
44,Steps per episode,750.0,220.0
45,Steps per episode,680.0,225.0
46,Steps per episode,668.0,230.0
47,Steps per episode,750.0,235.0
48,Steps per episode,677.7999877929688,240.0
49,Steps per episode,726.4000244140625,245.0
50,Steps per episode,724.7999877929688,250.0
51,Steps per episode,636.0,255.0
52,Steps per episode,677.7999877929688,260.0
53,Steps per episode,750.0,265.0
54,Steps per episode,641.4000244140625,270.0
55,Steps per episode,750.0,275.0
56,Steps per episode,750.0,280.0
57,Steps per episode,720.5999755859375,285.0
58,Steps per episode,750.0,290.0
59,Steps per episode,618.2000122070312,295.0
60,Steps per episode,750.0,300.0
61,Steps per episode,750.0,305.0
62,Steps per episode,750.0,310.0
63,Steps per episode,750.0,315.0
64,Steps per episode,750.0,320.0
65,Steps per episode,715.0,325.0
66,Steps per episode,750.0,330.0
67,Steps per episode,750.0,335.0
68,Steps per episode,750.0,340.0
69,Steps per episode,744.0,345.0
70,Steps per episode,679.7999877929688,350.0
71,Steps per episode,750.0,355.0
72,Steps per episode,750.0,360.0
73,Steps per episode,750.0,365.0
74,Steps per episode,677.7999877929688,370.0
75,Steps per episode,750.0,375.0
76,Steps per episode,708.7999877929688,380.0
77,Steps per episode,663.2000122070312,385.0
78,Steps per episode,750.0,390.0
79,Steps per episode,698.0,395.0
80,Steps per episode,690.5999755859375,400.0
81,Steps per episode,663.2000122070312,405.0
82,Steps per episode,750.0,410.0
83,Steps per episode,749.7999877929688,415.0
84,Steps per episode,674.2000122070312,420.0
85,Steps per episode,741.0,425.0
86,Steps per episode,656.7999877929688,430.0
87,Steps per episode,750.0,435.0
88,Steps per episode,652.5999755859375,440.0
89,Steps per episode,749.2000122070312,445.0
90,Steps per episode,747.5999755859375,450.0
91,Steps per episode,694.0,455.0
92,Steps per episode,644.2000122070312,460.0
93,Steps per episode,750.0,465.0
94,Steps per episode,602.0,470.0
95,Steps per episode,750.0,475.0
96,Steps per episode,667.0,480.0
97,Steps per episode,750.0,485.0
98,Steps per episode,629.4000244140625,490.0
99,Steps per episode,727.7999877929688,495.0
100,Steps per episode,750.0,500.0
101,Steps per episode,707.4000244140625,505.0
102,Steps per episode,750.0,510.0
103,Steps per episode,676.5999755859375,515.0
104,Steps per episode,710.5999755859375,520.0
105,Steps per episode,661.5999755859375,525.0
106,Steps per episode,750.0,530.0
107,Steps per episode,734.2000122070312,535.0
108,Steps per episode,750.0,540.0
109,Steps per episode,750.0,545.0
110,Steps per episode,715.0,550.0
111,Steps per episode,750.0,555.0
112,Steps per episode,750.0,560.0
113,Steps per episode,750.0,565.0
114,Steps per episode,702.5999755859375,570.0
115,Steps per episode,750.0,575.0
116,Steps per episode,750.0,580.0
117,Steps per episode,750.0,585.0
118,Steps per episode,704.5999755859375,590.0
119,Steps per episode,734.2000122070312,595.0
120,Steps per episode,632.7999877929688,600.0
121,Steps per episode,750.0,605.0
122,Steps per episode,750.0,610.0
123,Steps per episode,750.0,615.0
124,Steps per episode,750.0,620.0
125,Steps per episode,750.0,625.0
126,Steps per episode,750.0,630.0
127,Steps per episode,707.4000244140625,635.0
128,Steps per episode,750.0,640.0
129,Steps per episode,643.4000244140625,645.0
130,Steps per episode,724.2000122070312,650.0
131,Steps per episode,724.7999877929688,655.0
132,Steps per episode,601.2000122070312,660.0
133,Steps per episode,735.0,665.0
134,Steps per episode,657.7999877929688,670.0
135,Steps per episode,750.0,675.0
136,Steps per episode,750.0,680.0
137,Steps per episode,750.0,685.0
138,Steps per episode,750.0,690.0
139,Steps per episode,750.0,695.0
140,Steps per episode,625.2000122070312,700.0
141,Steps per episode,681.4000244140625,705.0
142,Steps per episode,750.0,710.0
143,Steps per episode,750.0,715.0
144,Steps per episode,750.0,720.0
145,Steps per episode,750.0,725.0
146,Steps per episode,692.5999755859375,730.0
147,Steps per episode,750.0,735.0
148,Steps per episode,750.0,740.0
149,Steps per episode,750.0,745.0
150,Steps per episode,690.7999877929688,750.0
151,Steps per episode,750.0,755.0
152,Steps per episode,532.7999877929688,760.0
153,Steps per episode,684.0,765.0
154,Steps per episode,750.0,770.0
155,Steps per episode,750.0,775.0
156,Steps per episode,722.5999755859375,780.0
157,Steps per episode,750.0,785.0
158,Steps per episode,669.4000244140625,790.0
159,Steps per episode,750.0,795.0
160,Steps per episode,750.0,800.0
161,Steps per episode,750.0,805.0
162,Steps per episode,750.0,810.0
163,Steps per episode,750.0,815.0
164,Steps per episode,750.0,820.0
165,Steps per episode,750.0,825.0
166,Steps per episode,750.0,830.0
167,Steps per episode,733.2000122070312,835.0
168,Steps per episode,644.0,840.0
169,Steps per episode,750.0,845.0
170,Steps per episode,750.0,850.0
171,Steps per episode,746.0,855.0
172,Steps per episode,656.0,860.0
173,Steps per episode,718.7999877929688,865.0
174,Steps per episode,750.0,870.0
175,Steps per episode,687.0,875.0
176,Steps per episode,731.7999877929688,880.0
177,Steps per episode,696.2000122070312,885.0
178,Steps per episode,750.0,890.0
179,Steps per episode,750.0,895.0
180,Steps per episode,750.0,900.0
181,Steps per episode,750.0,905.0
182,Steps per episode,750.0,910.0
183,Steps per episode,726.5999755859375,915.0
184,Steps per episode,750.0,920.0
185,Steps per episode,750.0,925.0
186,Steps per episode,750.0,930.0
187,Steps per episode,750.0,935.0
188,Steps per episode,750.0,940.0
189,Steps per episode,750.0,945.0
190,Steps per episode,750.0,950.0
191,Steps per episode,750.0,955.0
192,Steps per episode,750.0,960.0
193,Steps per episode,750.0,965.0
194,Steps per episode,638.0,970.0
195,Steps per episode,724.2000122070312,975.0
196,Steps per episode,684.5999755859375,980.0
197,Steps per episode,750.0,985.0
198,Steps per episode,750.0,990.0
199,Steps per episode,736.5999755859375,995.0
0,Mean Reward Against Episodes,1.0,0.0
1,Mean Reward Against Episodes,22.50480079650879,5.0
2,Mean Reward Against Episodes,19.706600189208984,10.0
3,Mean Reward Against Episodes,0.4000000059604645,15.0
4,Mean Reward Against Episodes,-1.399999976158142,20.0
5,Mean Reward Against Episodes,-2.3536728969086266e-15,25.0
6,Mean Reward Against Episodes,-0.4000000059604645,30.0
7,Mean Reward Against Episodes,-0.6000000238418579,35.0
8,Mean Reward Against Episodes,18.81599998474121,40.0
9,Mean Reward Against Episodes,-1.2000000476837158,45.0
10,Mean Reward Against Episodes,-1.600000023841858,50.0
11,Mean Reward Against Episodes,40.35940170288086,55.0
12,Mean Reward Against Episodes,-1.399999976158142,60.0
13,Mean Reward Against Episodes,-2.0,65.0
14,Mean Reward Against Episodes,-1.0,70.0
15,Mean Reward Against Episodes,20.40559959411621,75.0
16,Mean Reward Against Episodes,-0.4000000059604645,80.0
17,Mean Reward Against Episodes,-0.6000000238418579,85.0
18,Mean Reward Against Episodes,39.98619842529297,90.0
19,Mean Reward Against Episodes,-1.0,95.0
20,Mean Reward Against Episodes,19.161800384521484,100.0
21,Mean Reward Against Episodes,-1.7999999523162842,105.0
22,Mean Reward Against Episodes,-0.20000000298023224,110.0
23,Mean Reward Against Episodes,-0.800000011920929,115.0
24,Mean Reward Against Episodes,-2.0,120.0
25,Mean Reward Against Episodes,39.689998626708984,125.0
26,Mean Reward Against Episodes,-1.600000023841858,130.0
27,Mean Reward Against Episodes,-0.6000000238418579,135.0
28,Mean Reward Against Episodes,-2.0,140.0
29,Mean Reward Against Episodes,2.3359091760486936e-14,145.0
30,Mean Reward Against Episodes,-0.20000000298023224,150.0
31,Mean Reward Against Episodes,-0.800000011920929,155.0
32,Mean Reward Against Episodes,18.995800018310547,160.0
33,Mean Reward Against Episodes,-1.2000000476837158,165.0
34,Mean Reward Against Episodes,40.0078010559082,170.0
35,Mean Reward Against Episodes,20.23740005493164,175.0
36,Mean Reward Against Episodes,18.497600555419922,180.0
37,Mean Reward Against Episodes,19.148399353027344,185.0
38,Mean Reward Against Episodes,20.04840087890625,190.0
39,Mean Reward Against Episodes,-2.0,195.0
40,Mean Reward Against Episodes,18.775800704956055,200.0
41,Mean Reward Against Episodes,19.268400192260742,205.0
42,Mean Reward Against Episodes,-1.2000000476837158,210.0
43,Mean Reward Against Episodes,-1.600000023841858,215.0
44,Mean Reward Against Episodes,0.4000000059604645,220.0
