,metric,value,step
0,Mean Reward Against Episodes,-2.0,0.0
1,Mean Reward Against Episodes,38.27000045776367,5.0
2,Mean Reward Against Episodes,18.14859962463379,10.0
3,Mean Reward Against Episodes,38.17620086669922,15.0
4,Mean Reward Against Episodes,58.60419845581055,20.0
5,Mean Reward Against Episodes,18.35219955444336,25.0
6,Mean Reward Against Episodes,-2.0,30.0
7,Mean Reward Against Episodes,18.32740020751953,35.0
8,Mean Reward Against Episodes,18.125600814819336,40.0
9,Mean Reward Against Episodes,38.408199310302734,45.0
10,Mean Reward Against Episodes,58.950401306152344,50.0
11,Mean Reward Against Episodes,-2.0,55.0
12,Mean Reward Against Episodes,-2.0,60.0
13,Mean Reward Against Episodes,18.28820037841797,65.0
14,Mean Reward Against Episodes,58.73619842529297,70.0
15,Mean Reward Against Episodes,38.50579833984375,75.0
16,Mean Reward Against Episodes,-2.0,80.0
17,Mean Reward Against Episodes,-2.0,85.0
18,Mean Reward Against Episodes,18.106199264526367,90.0
19,Mean Reward Against Episodes,18.341400146484375,95.0
20,Mean Reward Against Episodes,38.310001373291016,100.0
21,Mean Reward Against Episodes,-2.0,105.0
22,Mean Reward Against Episodes,-2.0,110.0
23,Mean Reward Against Episodes,18.242399215698242,115.0
24,Mean Reward Against Episodes,-2.0,120.0
25,Mean Reward Against Episodes,-2.0,125.0
26,Mean Reward Against Episodes,38.152400970458984,130.0
27,Mean Reward Against Episodes,18.010799407958984,135.0
28,Mean Reward Against Episodes,-2.0,140.0
29,Mean Reward Against Episodes,-2.0,145.0
30,Mean Reward Against Episodes,38.33599853515625,150.0
31,Mean Reward Against Episodes,-2.0,155.0
32,Mean Reward Against Episodes,18.312599182128906,160.0
33,Mean Reward Against Episodes,-2.0,165.0
34,Mean Reward Against Episodes,-2.0,170.0
35,Mean Reward Against Episodes,18.285600662231445,175.0
36,Mean Reward Against Episodes,-2.0,180.0
37,Mean Reward Against Episodes,-2.0,185.0
38,Mean Reward Against Episodes,18.052799224853516,190.0
39,Mean Reward Against Episodes,-2.0,195.0
40,Mean Reward Against Episodes,18.327800750732422,200.0
41,Mean Reward Against Episodes,18.218399047851562,205.0
42,Mean Reward Against Episodes,-2.0,210.0
43,Mean Reward Against Episodes,-2.0,215.0
44,Mean Reward Against Episodes,18.107200622558594,220.0
45,Mean Reward Against Episodes,-2.0,225.0
46,Mean Reward Against Episodes,-2.0,230.0
47,Mean Reward Against Episodes,38.453399658203125,235.0
48,Mean Reward Against Episodes,38.542198181152344,240.0
49,Mean Reward Against Episodes,-2.0,245.0
50,Mean Reward Against Episodes,-2.0,250.0
51,Mean Reward Against Episodes,-2.0,255.0
52,Mean Reward Against Episodes,-2.0,260.0
53,Mean Reward Against Episodes,-2.0,265.0
54,Mean Reward Against Episodes,-2.0,270.0
55,Mean Reward Against Episodes,-2.0,275.0
56,Mean Reward Against Episodes,-2.0,280.0
57,Mean Reward Against Episodes,18.29520034790039,285.0
58,Mean Reward Against Episodes,-2.0,290.0
59,Mean Reward Against Episodes,-2.0,295.0
60,Mean Reward Against Episodes,18.28219985961914,300.0
61,Mean Reward Against Episodes,-2.0,305.0
62,Mean Reward Against Episodes,-2.0,310.0
63,Mean Reward Against Episodes,-2.0,315.0
64,Mean Reward Against Episodes,-2.0,320.0
65,Mean Reward Against Episodes,-2.0,325.0
66,Mean Reward Against Episodes,-2.0,330.0
67,Mean Reward Against Episodes,-2.0,335.0
68,Mean Reward Against Episodes,-2.0,340.0
69,Mean Reward Against Episodes,-2.0,345.0
70,Mean Reward Against Episodes,-2.0,350.0
71,Mean Reward Against Episodes,58.44060134887695,355.0
72,Mean Reward Against Episodes,18.100400924682617,360.0
73,Mean Reward Against Episodes,-2.0,365.0
74,Mean Reward Against Episodes,-2.0,370.0
75,Mean Reward Against Episodes,-2.0,375.0
76,Mean Reward Against Episodes,-2.0,380.0
77,Mean Reward Against Episodes,-2.0,385.0
78,Mean Reward Against Episodes,-2.0,390.0
79,Mean Reward Against Episodes,-2.0,395.0
80,Mean Reward Against Episodes,-2.0,400.0
81,Mean Reward Against Episodes,-2.0,405.0
82,Mean Reward Against Episodes,-2.0,410.0
83,Mean Reward Against Episodes,-2.0,415.0
84,Mean Reward Against Episodes,-2.0,420.0
85,Mean Reward Against Episodes,-2.0,425.0
86,Mean Reward Against Episodes,-2.0,430.0
87,Mean Reward Against Episodes,18.259199142456055,435.0
88,Mean Reward Against Episodes,-2.0,440.0
89,Mean Reward Against Episodes,-2.0,445.0
90,Mean Reward Against Episodes,-2.0,450.0
91,Mean Reward Against Episodes,18.197200775146484,455.0
92,Mean Reward Against Episodes,-2.0,460.0
93,Mean Reward Against Episodes,-2.0,465.0
94,Mean Reward Against Episodes,-2.0,470.0
95,Mean Reward Against Episodes,38.149600982666016,475.0
96,Mean Reward Against Episodes,-2.0,480.0
97,Mean Reward Against Episodes,-2.0,485.0
98,Mean Reward Against Episodes,-2.0,490.0
99,Mean Reward Against Episodes,38.43659973144531,495.0
100,Mean Reward Against Episodes,18.188800811767578,500.0
101,Mean Reward Against Episodes,18.141199111938477,505.0
102,Mean Reward Against Episodes,18.28860092163086,510.0
103,Mean Reward Against Episodes,-2.0,515.0
104,Mean Reward Against Episodes,18.177400588989258,520.0
105,Mean Reward Against Episodes,18.044599533081055,525.0
106,Mean Reward Against Episodes,58.81779861450195,530.0
107,Mean Reward Against Episodes,18.275999069213867,535.0
108,Mean Reward Against Episodes,18.109600067138672,540.0
109,Mean Reward Against Episodes,18.242000579833984,545.0
110,Mean Reward Against Episodes,-2.0,550.0
111,Mean Reward Against Episodes,-2.0,555.0
112,Mean Reward Against Episodes,-2.0,560.0
113,Mean Reward Against Episodes,-2.0,565.0
114,Mean Reward Against Episodes,-2.0,570.0
115,Mean Reward Against Episodes,18.064800262451172,575.0
116,Mean Reward Against Episodes,-2.0,580.0
117,Mean Reward Against Episodes,-2.0,585.0
118,Mean Reward Against Episodes,-2.0,590.0
119,Mean Reward Against Episodes,-2.0,595.0
120,Mean Reward Against Episodes,18.145200729370117,600.0
121,Mean Reward Against Episodes,-2.0,605.0
122,Mean Reward Against Episodes,-2.0,610.0
123,Mean Reward Against Episodes,-2.0,615.0
124,Mean Reward Against Episodes,-2.0,620.0
125,Mean Reward Against Episodes,18.31679916381836,625.0
126,Mean Reward Against Episodes,-2.0,630.0
127,Mean Reward Against Episodes,-2.0,635.0
128,Mean Reward Against Episodes,-2.0,640.0
129,Mean Reward Against Episodes,38.20759963989258,645.0
130,Mean Reward Against Episodes,-2.0,650.0
131,Mean Reward Against Episodes,-2.0,655.0
132,Mean Reward Against Episodes,-2.0,660.0
133,Mean Reward Against Episodes,38.5,665.0
134,Mean Reward Against Episodes,-2.0,670.0
135,Mean Reward Against Episodes,38.382598876953125,675.0
136,Mean Reward Against Episodes,-2.0,680.0
137,Mean Reward Against Episodes,38.617000579833984,685.0
138,Mean Reward Against Episodes,-2.0,690.0
139,Mean Reward Against Episodes,-2.0,695.0
140,Mean Reward Against Episodes,18.2731990814209,700.0
141,Mean Reward Against Episodes,-2.0,705.0
142,Mean Reward Against Episodes,-2.0,710.0
143,Mean Reward Against Episodes,-2.0,715.0
144,Mean Reward Against Episodes,18.325599670410156,720.0
145,Mean Reward Against Episodes,-2.0,725.0
146,Mean Reward Against Episodes,-2.0,730.0
147,Mean Reward Against Episodes,18.261999130249023,735.0
148,Mean Reward Against Episodes,18.124000549316406,740.0
149,Mean Reward Against Episodes,18.29800033569336,745.0
150,Mean Reward Against Episodes,38.565799713134766,750.0
151,Mean Reward Against Episodes,58.97359848022461,755.0
152,Mean Reward Against Episodes,-2.0,760.0
153,Mean Reward Against Episodes,-2.0,765.0
154,Mean Reward Against Episodes,18.256200790405273,770.0
155,Mean Reward Against Episodes,-2.0,775.0
156,Mean Reward Against Episodes,-2.0,780.0
157,Mean Reward Against Episodes,18.243799209594727,785.0
158,Mean Reward Against Episodes,-2.0,790.0
159,Mean Reward Against Episodes,-2.0,795.0
160,Mean Reward Against Episodes,-2.0,800.0
161,Mean Reward Against Episodes,-2.0,805.0
162,Mean Reward Against Episodes,38.22700119018555,810.0
163,Mean Reward Against Episodes,38.29240036010742,815.0
164,Mean Reward Against Episodes,-2.0,820.0
165,Mean Reward Against Episodes,-2.0,825.0
166,Mean Reward Against Episodes,38.46440124511719,830.0
167,Mean Reward Against Episodes,58.85940170288086,835.0
168,Mean Reward Against Episodes,-2.0,840.0
169,Mean Reward Against Episodes,38.57040023803711,845.0
170,Mean Reward Against Episodes,-2.0,850.0
171,Mean Reward Against Episodes,-2.0,855.0
172,Mean Reward Against Episodes,18.19260025024414,860.0
173,Mean Reward Against Episodes,-2.0,865.0
174,Mean Reward Against Episodes,18.239200592041016,870.0
175,Mean Reward Against Episodes,78.86699676513672,875.0
