,metric,value,step
0,Steps per episode,522.0,0.0
1,Steps per episode,450.6000061035156,5.0
2,Steps per episode,528.0,10.0
3,Steps per episode,528.0,15.0
4,Steps per episode,428.6000061035156,20.0
5,Steps per episode,528.0,25.0
6,Steps per episode,318.0,30.0
7,Steps per episode,471.79998779296875,35.0
8,Steps per episode,475.6000061035156,40.0
9,Steps per episode,469.79998779296875,45.0
10,Steps per episode,499.79998779296875,50.0
11,Steps per episode,492.3999938964844,55.0
12,Steps per episode,470.20001220703125,60.0
13,Steps per episode,442.20001220703125,65.0
14,Steps per episode,447.6000061035156,70.0
15,Steps per episode,407.20001220703125,75.0
16,Steps per episode,437.0,80.0
17,Steps per episode,528.0,85.0
18,Steps per episode,430.20001220703125,90.0
19,Steps per episode,431.20001220703125,95.0
20,Steps per episode,528.0,100.0
21,Steps per episode,528.0,105.0
22,Steps per episode,433.0,110.0
23,Steps per episode,415.79998779296875,115.0
24,Steps per episode,349.3999938964844,120.0
25,Steps per episode,460.0,125.0
26,Steps per episode,357.20001220703125,130.0
27,Steps per episode,428.0,135.0
28,Steps per episode,354.20001220703125,140.0
29,Steps per episode,528.0,145.0
30,Steps per episode,528.0,150.0
31,Steps per episode,528.0,155.0
32,Steps per episode,348.0,160.0
33,Steps per episode,528.0,165.0
34,Steps per episode,428.3999938964844,170.0
35,Steps per episode,309.0,175.0
36,Steps per episode,371.0,180.0
37,Steps per episode,459.20001220703125,185.0
38,Steps per episode,491.6000061035156,190.0
39,Steps per episode,456.3999938964844,195.0
40,Steps per episode,413.3999938964844,200.0
41,Steps per episode,425.0,205.0
42,Steps per episode,452.79998779296875,210.0
43,Steps per episode,393.3999938964844,215.0
44,Steps per episode,439.3999938964844,220.0
45,Steps per episode,528.0,225.0
46,Steps per episode,453.6000061035156,230.0
47,Steps per episode,528.0,235.0
48,Steps per episode,443.79998779296875,240.0
49,Steps per episode,438.20001220703125,245.0
50,Steps per episode,438.3999938964844,250.0
51,Steps per episode,528.0,255.0
52,Steps per episode,350.0,260.0
53,Steps per episode,489.6000061035156,265.0
54,Steps per episode,374.79998779296875,270.0
55,Steps per episode,428.6000061035156,275.0
56,Steps per episode,443.79998779296875,280.0
57,Steps per episode,471.6000061035156,285.0
58,Steps per episode,437.3999938964844,290.0
59,Steps per episode,389.3999938964844,295.0
60,Steps per episode,477.6000061035156,300.0
61,Steps per episode,528.0,305.0
62,Steps per episode,528.0,310.0
63,Steps per episode,528.0,315.0
64,Steps per episode,445.3999938964844,320.0
65,Steps per episode,440.3999938964844,325.0
66,Steps per episode,475.3999938964844,330.0
67,Steps per episode,528.0,335.0
68,Steps per episode,528.0,340.0
69,Steps per episode,528.0,345.0
70,Steps per episode,424.20001220703125,350.0
71,Steps per episode,428.3999938964844,355.0
72,Steps per episode,528.0,360.0
73,Steps per episode,528.0,365.0
74,Steps per episode,528.0,370.0
75,Steps per episode,420.3999938964844,375.0
76,Steps per episode,439.6000061035156,380.0
77,Steps per episode,528.0,385.0
78,Steps per episode,425.0,390.0
79,Steps per episode,424.6000061035156,395.0
80,Steps per episode,528.0,400.0
81,Steps per episode,429.20001220703125,405.0
82,Steps per episode,430.6000061035156,410.0
83,Steps per episode,505.79998779296875,415.0
84,Steps per episode,384.0,420.0
85,Steps per episode,528.0,425.0
86,Steps per episode,528.0,430.0
87,Steps per episode,528.0,435.0
88,Steps per episode,528.0,440.0
89,Steps per episode,528.0,445.0
90,Steps per episode,464.79998779296875,450.0
91,Steps per episode,528.0,455.0
92,Steps per episode,488.79998779296875,460.0
93,Steps per episode,528.0,465.0
94,Steps per episode,472.6000061035156,470.0
95,Steps per episode,528.0,475.0
96,Steps per episode,456.20001220703125,480.0
97,Steps per episode,497.6000061035156,485.0
98,Steps per episode,528.0,490.0
99,Steps per episode,382.3999938964844,495.0
100,Steps per episode,443.0,500.0
101,Steps per episode,457.20001220703125,505.0
102,Steps per episode,429.3999938964844,510.0
103,Steps per episode,427.6000061035156,515.0
104,Steps per episode,212.0,520.0
105,Steps per episode,410.0,525.0
106,Steps per episode,528.0,530.0
107,Steps per episode,528.0,535.0
108,Steps per episode,528.0,540.0
109,Steps per episode,458.79998779296875,545.0
110,Steps per episode,199.0,550.0
111,Steps per episode,409.20001220703125,555.0
112,Steps per episode,485.3999938964844,560.0
113,Steps per episode,528.0,565.0
114,Steps per episode,528.0,570.0
115,Steps per episode,528.0,575.0
116,Steps per episode,457.0,580.0
117,Steps per episode,424.3999938964844,585.0
118,Steps per episode,252.0,590.0
119,Steps per episode,369.0,595.0
120,Steps per episode,434.6000061035156,600.0
121,Steps per episode,434.0,605.0
122,Steps per episode,468.20001220703125,610.0
123,Steps per episode,470.0,615.0
124,Steps per episode,399.20001220703125,620.0
125,Steps per episode,470.0,625.0
126,Steps per episode,528.0,630.0
127,Steps per episode,487.20001220703125,635.0
128,Steps per episode,528.0,640.0
129,Steps per episode,424.79998779296875,645.0
130,Steps per episode,475.20001220703125,650.0
131,Steps per episode,470.79998779296875,655.0
132,Steps per episode,415.6000061035156,660.0
133,Steps per episode,490.20001220703125,665.0
134,Steps per episode,332.79998779296875,670.0
135,Steps per episode,528.0,675.0
136,Steps per episode,485.0,680.0
137,Steps per episode,358.6000061035156,685.0
138,Steps per episode,448.6000061035156,690.0
139,Steps per episode,342.0,695.0
140,Steps per episode,504.79998779296875,700.0
141,Steps per episode,323.20001220703125,705.0
142,Steps per episode,420.3999938964844,710.0
143,Steps per episode,528.0,715.0
144,Steps per episode,462.0,720.0
145,Steps per episode,366.79998779296875,725.0
146,Steps per episode,332.6000061035156,730.0
147,Steps per episode,503.79998779296875,735.0
148,Steps per episode,458.3999938964844,740.0
149,Steps per episode,528.0,745.0
150,Steps per episode,424.0,750.0
151,Steps per episode,439.0,755.0
152,Steps per episode,380.6000061035156,760.0
153,Steps per episode,348.79998779296875,765.0
154,Steps per episode,447.79998779296875,770.0
155,Steps per episode,362.3999938964844,775.0
156,Steps per episode,528.0,780.0
157,Steps per episode,528.0,785.0
158,Steps per episode,391.20001220703125,790.0
159,Steps per episode,409.6000061035156,795.0
160,Steps per episode,528.0,800.0
161,Steps per episode,298.3999938964844,805.0
162,Steps per episode,345.3999938964844,810.0
163,Steps per episode,379.6000061035156,815.0
164,Steps per episode,522.0,820.0
165,Steps per episode,501.20001220703125,825.0
166,Steps per episode,407.3999938964844,830.0
167,Steps per episode,520.7999877929688,835.0
168,Steps per episode,472.79998779296875,840.0
169,Steps per episode,386.3999938964844,845.0
170,Steps per episode,448.6000061035156,850.0
171,Steps per episode,436.20001220703125,855.0
172,Steps per episode,335.79998779296875,860.0
173,Steps per episode,435.20001220703125,865.0
174,Steps per episode,528.0,870.0
175,Steps per episode,445.3999938964844,875.0
176,Steps per episode,327.20001220703125,880.0
177,Steps per episode,356.0,885.0
178,Steps per episode,486.3999938964844,890.0
179,Steps per episode,258.6000061035156,895.0
180,Steps per episode,383.20001220703125,900.0
181,Steps per episode,416.79998779296875,905.0
182,Steps per episode,511.20001220703125,910.0
183,Steps per episode,331.3999938964844,915.0
184,Steps per episode,389.20001220703125,920.0
185,Steps per episode,427.3999938964844,925.0
186,Steps per episode,426.6000061035156,930.0
187,Steps per episode,528.0,935.0
188,Steps per episode,497.6000061035156,940.0
189,Steps per episode,528.0,945.0
190,Steps per episode,506.3999938964844,950.0
191,Steps per episode,528.0,955.0
192,Steps per episode,477.0,960.0
193,Steps per episode,528.0,965.0
194,Steps per episode,500.20001220703125,970.0
195,Steps per episode,373.79998779296875,975.0
196,Steps per episode,423.79998779296875,980.0
197,Steps per episode,466.79998779296875,985.0
198,Steps per episode,326.6000061035156,990.0
199,Steps per episode,528.0,995.0
0,Mean Reward Against Episodes,98.95600128173828,0.0
1,Mean Reward Against Episodes,39.09980010986328,5.0
2,Mean Reward Against Episodes,-1.0549999475479126,10.0
3,Mean Reward Against Episodes,-1.0549999475479126,15.0
4,Mean Reward Against Episodes,19.143800735473633,20.0
5,Mean Reward Against Episodes,-1.0549999475479126,25.0
6,Mean Reward Against Episodes,79.36489868164062,30.0
7,Mean Reward Against Episodes,19.0575008392334,35.0
8,Mean Reward Against Episodes,19.04960060119629,40.0
9,Mean Reward Against Episodes,39.0614013671875,45.0
10,Mean Reward Against Episodes,19.001300811767578,50.0
11,Mean Reward Against Episodes,19.016000747680664,55.0
12,Mean Reward Against Episodes,19.060699462890625,60.0
13,Mean Reward Against Episodes,19.116600036621094,65.0
14,Mean Reward Against Episodes,19.10580062866211,70.0
15,Mean Reward Against Episodes,39.186798095703125,75.0
16,Mean Reward Against Episodes,19.126800537109375,80.0
17,Mean Reward Against Episodes,-1.0549999475479126,85.0
18,Mean Reward Against Episodes,19.140499114990234,90.0
19,Mean Reward Against Episodes,19.138700485229492,95.0
20,Mean Reward Against Episodes,-1.0549999475479126,100.0
21,Mean Reward Against Episodes,-1.0549999475479126,105.0
22,Mean Reward Against Episodes,19.135000228881836,110.0
23,Mean Reward Against Episodes,39.1692008972168,115.0
24,Mean Reward Against Episodes,39.30179977416992,120.0
25,Mean Reward Against Episodes,19.081100463867188,125.0
26,Mean Reward Against Episodes,39.286399841308594,130.0
27,Mean Reward Against Episodes,19.145099639892578,135.0
28,Mean Reward Against Episodes,39.29240036010742,140.0
29,Mean Reward Against Episodes,-1.0549999475479126,145.0
30,Mean Reward Against Episodes,-1.0549999475479126,150.0
31,Mean Reward Against Episodes,-1.0549999475479126,155.0
32,Mean Reward Against Episodes,59.305198669433594,160.0
33,Mean Reward Against Episodes,-1.0549999475479126,165.0
34,Mean Reward Against Episodes,19.14430046081543,170.0
35,Mean Reward Against Episodes,79.38249969482422,175.0
36,Mean Reward Against Episodes,39.25899887084961,180.0
37,Mean Reward Against Episodes,39.082298278808594,185.0
38,Mean Reward Against Episodes,19.01759910583496,190.0
39,Mean Reward Against Episodes,19.08810043334961,195.0
40,Mean Reward Against Episodes,39.17380142211914,200.0
41,Mean Reward Against Episodes,19.151100158691406,205.0
42,Mean Reward Against Episodes,19.095500946044922,210.0
43,Mean Reward Against Episodes,39.21379852294922,215.0
44,Mean Reward Against Episodes,19.12220001220703,220.0
45,Mean Reward Against Episodes,-1.0549999475479126,225.0
46,Mean Reward Against Episodes,19.093900680541992,230.0
47,Mean Reward Against Episodes,-1.0549999475479126,235.0
48,Mean Reward Against Episodes,19.113300323486328,240.0
49,Mean Reward Against Episodes,19.12470054626465,245.0
50,Mean Reward Against Episodes,19.124300003051758,250.0
51,Mean Reward Against Episodes,-1.0549999475479126,255.0
52,Mean Reward Against Episodes,39.30080032348633,260.0
53,Mean Reward Against Episodes,19.0216007232666,265.0
54,Mean Reward Against Episodes,39.25149917602539,270.0
55,Mean Reward Against Episodes,39.14339828491211,275.0
56,Mean Reward Against Episodes,39.113399505615234,280.0
57,Mean Reward Against Episodes,19.05780029296875,285.0
58,Mean Reward Against Episodes,39.125999450683594,290.0
59,Mean Reward Against Episodes,39.22200012207031,295.0
60,Mean Reward Against Episodes,19.04560089111328,300.0
61,Mean Reward Against Episodes,-1.0549999475479126,305.0
62,Mean Reward Against Episodes,-1.0549999475479126,310.0
63,Mean Reward Against Episodes,-1.0549999475479126,315.0
64,Mean Reward Against Episodes,39.110198974609375,320.0
65,Mean Reward Against Episodes,39.120201110839844,325.0
66,Mean Reward Against Episodes,19.049999237060547,330.0
67,Mean Reward Against Episodes,-1.0549999475479126,335.0
68,Mean Reward Against Episodes,-1.0549999475479126,340.0
69,Mean Reward Against Episodes,-1.0549999475479126,345.0
70,Mean Reward Against Episodes,39.1525993347168,350.0
71,Mean Reward Against Episodes,59.14390182495117,355.0
72,Mean Reward Against Episodes,-1.0549999475479126,360.0
73,Mean Reward Against Episodes,-1.0549999475479126,365.0
74,Mean Reward Against Episodes,-1.0549999475479126,370.0
75,Mean Reward Against Episodes,39.15999984741211,375.0
76,Mean Reward Against Episodes,39.121498107910156,380.0
77,Mean Reward Against Episodes,-1.0549999475479126,385.0
78,Mean Reward Against Episodes,19.15089988708496,390.0
79,Mean Reward Against Episodes,39.15169906616211,395.0
80,Mean Reward Against Episodes,-1.0549999475479126,400.0
81,Mean Reward Against Episodes,19.1427001953125,405.0
82,Mean Reward Against Episodes,19.139699935913086,410.0
83,Mean Reward Against Episodes,18.989200592041016,415.0
84,Mean Reward Against Episodes,39.23310089111328,420.0
85,Mean Reward Against Episodes,-1.0549999475479126,425.0
86,Mean Reward Against Episodes,-1.0549999475479126,430.0
87,Mean Reward Against Episodes,-1.0549999475479126,435.0
88,Mean Reward Against Episodes,-1.0549999475479126,440.0
89,Mean Reward Against Episodes,-1.0549999475479126,445.0
90,Mean Reward Against Episodes,19.071399688720703,450.0
91,Mean Reward Against Episodes,-1.0549999475479126,455.0
